id;number;departure_time;arrival_time
1;Courts;2020-05-12T08:35:40;2020-05-12T12:05:08
2;architectures reboot cutting-edge;2020-05-12T06:01:57;2020-05-12T11:16:16
3;copying;2020-05-12T16:39:42;2020-05-12T02:39:51
4;Fish;2020-05-12T20:56:17;2020-05-13T00:35:46
5;Regional Computer;2020-05-12T17:55:04;2020-05-12T09:41:17
6;Berkshire application;2020-05-12T02:40:39;2020-05-12T15:26:15
7;Associate responsive;2020-05-12T19:00:01;2020-05-12T05:51:31
8;Zambian Kwacha Small Metal Shoes calculating;2020-05-12T14:03:49;2020-05-12T16:25:46
9;portals firmware;2020-05-12T12:19:44;2020-05-12T14:34:58
10;hacking digital;2020-05-12T18:08:32;2020-05-12T13:46:03
