id;flight_number;username;purchased;reservation_id;seat_number;max_kg;price
1;out-of-the-box Adaptive users;Quetzal Reactive HTTP;2020-05-12T23:46:19;Cambridgeshire;generate Industrial;57589;87143
2;Quality;blue quantifying Borders;2020-05-12T05:44:53;Checking Account executive niches;Concrete modular;63283;97299
3;Games array;frame Legacy;2020-05-12T23:16:14;Lane Savings Account Toys;Metal;4948;21261
4;Handcrafted Investment Account;archive;2020-05-12T18:07:19;driver;Computer benchmark Crest;74290;59634
5;Kids North Dakota deposit;Cotton open-source;2020-05-12T23:38:15;redundant Group Balanced;Small Unbranded Frozen Chair;80954;69079
6;Bike;Accounts Berkshire;2020-05-12T15:51:22;Credit Card Account expedite;directional;61187;71485
7;Innovative 24/365 Kids;Personal Loan Account;2020-05-12T11:02:48;synthesizing Customer;Concrete focus group;97449;48168
8;Sausages;Gorgeous;2020-05-12T23:25:03;United States Minor Outlying Islands wireless Beauty;Rustic;94430;91031
9;transmit;asynchronous bluetooth Refined;2020-05-12T14:10:42;payment hacking Baby;Dynamic Cambridgeshire Cotton;40277;94962
10;deposit user-centric Movies;calculating;2020-05-12T22:51:34;strategy;e-business initiatives open-source;22112;67764
